,年龄,身高(cm),体重(kg),腰围(cm),臀围(cm),体温(℃),脉搏(次/分),呼吸(次/分),收缩压,舒张压,总热卡(千卡),门诊测血糖（次/周),自我监测血糖(次/周),空腹血糖(mmol/l),餐后血糖(mmol/l),糖化血红蛋白(%),空腹血糖(mmol/L),餐后2H血糖(mmol/L),糖化血红蛋白(%).1,空腹胰岛素(pmol/l),空腹C肽(nmol/l),餐后2H胰岛素(pmol/l),餐后2H C肽空腹C肽(nmol/l),TC（总胆固醇）,TG（甘油三酯）,LDL--C（低密度脂蛋白）,HDL--C（高密度脂蛋白）,24H尿蛋白定量(mg/24h),尿白蛋白(mg/L),BUN尿素氮(mmol/L),CREA肌酐(umol/L),WBC(×109/L),中性粒胞(%),RBC( 1012/L),家族史,高血压,脑血管病变,心血管病变,视网膜病变,糖尿病肾病,周围神经病变,糖尿病足,皮肤感染,糖尿病酮症（或酸中毒）,定时定量,食物选择合理,食物搭配合理,甜食,外出就餐,其他,每周运动次数,每次运动时间,是否使用口服降糖药,是否使用胰岛素,是否使用降压药,是否使用调脂药,胃纳,活动情况,心电图,心脏B超,眼底检查情况,肾ECT,神经肌电图,血管病变（多普勒）,奇形,干裂,灰趾甲,自觉足部症状,足背动脉搏动,每天足部检查 ,每天足部清洁,足部神经感觉阈值结果,ABI检查结果,抽烟,喝酒,程度分级,血糖记录(是/否)
年龄,0.0,0.0,0.038754676,0.023310695,0.030185537,0.023037476,0.0,0.0,0.017267648,0.030582236,0.025460154,0.0,0.05225348,0.0,0.0,0.0,0.0,0.0,0.040475234,0.0,0.0,0.041351173,0.0,0.026607987,0.0,0.0,0.0,0.0,0.025254522,0.0,0.028331345,0.0,0.0,0.0,0.033877518,0.0,0.02097472,0.04419463,0.02656421,0.0,0.0,0.0,0.033847626,0.026037497,0.0,0.0,0.0,0.0,0.02072851,0.02932029,0.0,0.032454807,0.021756096,0.0,0.037948016,0.0,0.0,0.029722458,0.045249656,0.027829237,0.0,0.0,0.0,0.040082145,0.0,0.021243006,0.01876705,0.030806214,0.026906982,0.0,0.0,0.04260214,0.0,0.0,0.0,0.038892835,0.0
身高(cm),0.024055285,0.0,0.020736147,0.0,0.038253084,0.014949174,0.019785404,0.0,0.0,0.0,0.037087433,0.044184286,0.0,0.0,0.02244339,0.0,0.03449786,0.0,0.020518625,0.0,0.0,0.02600743,0.028032372,0.027568964,0.022417538,0.0,0.0,0.0,0.031512346,0.0,0.0,0.0,0.0,0.03305219,0.029206973,0.0,0.021823453,0.024279136,0.0,0.0,0.0,0.0,0.0,0.0,0.044465072,0.0,0.0,0.0,0.0,0.0,0.0,0.025496282,0.0,0.0,0.02180317,0.03026281,0.0,0.020479416,0.0,0.0,0.0,0.035039466,0.037045155,0.033761904,0.019192273,0.028394729,0.0,0.0,0.019891609,0.0,0.03294868,0.0,0.0,0.0,0.0,0.06210152,0.023373593
体重(kg),0.038405105,0.0,0.0,0.02242348,0.0,0.0,0.031275988,0.0,0.021427618,0.0,0.02388494,0.0,0.0,0.0,0.04505145,0.0,0.0,0.025780283,0.0,0.0,0.0,0.0,0.0,0.0,0.016872432,0.0,0.0,0.0887232,0.0,0.0,0.024312114,0.018135611,0.0,0.02873356,0.0,0.0238742,0.0,0.0,0.0,0.037199847,0.0,0.0,0.029588303,0.0,0.014185031,0.04246152,0.011062629,0.0,0.022505626,0.0,0.0,0.0,0.0,0.02847367,0.04273105,0.0,0.044489052,0.048226714,0.0,0.04648327,0.03368793,0.0199398,0.02239353,0.0335466,0.05472772,0.0,0.05328251,0.0,0.0,0.0,0.01788178,0.0,0.0,0.0,0.0,0.0,0.03251889
腰围(cm),0.0,0.0,0.022361066,0.0,0.024224635,0.0,0.0154627785,0.021178659,0.0,0.0,0.0,0.033589914,0.0,0.0,0.026461707,0.024568299,0.04033436,0.040147886,0.0,0.02027999,0.0,0.0,0.0,0.0,0.028997106,0.06402692,0.0,0.030213878,0.0,0.019237619,0.0,0.017794937,0.044175826,0.03111887,0.0142783215,0.023317628,0.0,0.0,0.021825815,0.019063111,0.0,0.0,0.0,0.0,0.017251205,0.026490694,0.01782223,0.027151778,0.0,0.027052313,0.020227615,0.0,0.011517846,0.0,0.022800412,0.02052187,0.0,0.0,0.0,0.0,0.016992092,0.0,0.012839258,0.028020788,0.0,0.0,0.023717858,0.020581832,0.0,0.0,0.03681225,0.019142857,0.0,0.036774714,0.05665839,0.0,0.012119405
臀围(cm),0.023598352,0.0,0.024809645,0.0,0.0,0.022856653,0.01458172,0.018475974,0.0,0.0,0.0,0.03174697,0.009412131,0.0,0.018771006,0.0,0.0,0.019637896,0.0,0.0,0.0,0.0,0.0,0.0,0.05603067,0.024685144,0.031328883,0.026459789,0.0,0.027617304,0.0,0.03229614,0.025529653,0.011734755,0.030259218,0.023912458,0.0,0.0,0.022185843,0.0,0.022966571,0.0,0.0,0.0,0.013713786,0.033399004,0.026126016,0.0,0.0,0.01545477,0.0,0.0,0.0275537,0.015635554,0.023109213,0.0,0.0,0.017402701,0.0,0.02077633,0.027511433,0.0,0.028137216,0.03754551,0.042240035,0.0,0.034847938,0.022839596,0.0,0.0,0.0,0.015556706,0.013502341,0.011818676,0.0,0.0,0.02817554
体温(℃),0.02121486,0.0,0.019295009,0.0,0.0,0.0,0.0,0.0,0.0153179085,0.017369434,0.0,0.0,0.0,0.03458266,0.0,0.029245857,0.0,0.0,0.0358897,0.0,0.0,0.029856943,0.0,0.016554601,0.0,0.0,0.036174055,0.0,0.045837503,0.039412346,0.03670107,0.0,0.0,0.0,0.048158113,0.0,0.049174815,0.0,0.0,0.0,0.015418405,0.0,0.0,0.0,0.0,0.0,0.0,0.044826895,0.0,0.06199675,0.020453066,0.0,0.0588043,0.0,0.0,0.0,0.0,0.0,0.026135141,0.0,0.0,0.0,0.0,0.021461785,0.0,0.0183738,0.0,0.024509422,0.0,0.0,0.0,0.024918063,0.062125895,0.0,0.0,0.0,0.0
脉搏(次/分),0.0,0.027957644,0.0,0.0,0.025935123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04087239,0.0,0.0,0.0,0.029936153,0.0,0.04259782,0.033239286,0.0,0.0,0.0,0.0,0.0,0.0,0.059094615,0.0,0.0,0.0,0.038674396,0.0,0.053584434,0.0,0.048861373,0.0,0.0,0.0,0.048412662,0.0,0.0,0.0,0.0,0.04681609,0.038561914,0.0,0.0,0.0,0.04961333,0.0,0.041390095,0.0,0.029648146,0.036939636,0.0,0.0,0.0,0.0,0.0,0.0,0.026820611,0.0,0.0,0.045675457,0.0,0.0,0.0,0.0,0.035078775,0.03144743,0.0,0.031411637,0.036058776,0.0,0.03670443,0.063730486
呼吸(次/分),0.028079024,0.020041276,0.0,0.0,0.025605554,0.0,0.02966635,0.0,0.03327241,0.0,0.022453343,0.013977062,0.0,0.03785702,0.0,0.0258528,0.034408,0.0,0.024482017,0.03486443,0.020705216,0.026920706,0.040154733,0.039412737,0.0346887,0.024896165,0.0,0.0,0.021298518,0.0,0.0446422,0.0,0.0,0.024396537,0.0,0.040673133,0.0,0.03306977,0.0,0.02967648,0.038949713,0.026977671,0.03283186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03846605,0.0,0.0,0.0,0.0,0.0,0.0,0.034021135,0.032109383,0.0,0.0,0.0,0.0,0.0,0.03500727,0.0,0.03559164,0.0,0.0,0.0,0.031906687,0.0,0.0,0.029226406,0.009143751,0.0
收缩压,0.0,0.043310836,0.0,0.024635121,0.023625221,0.0,0.0,0.0,0.0,0.04124055,0.0,0.0,0.045719896,0.026317175,0.0,0.024614474,0.025290817,0.0,0.020960296,0.03947231,0.03540045,0.0,0.0,0.042214807,0.019998783,0.02470723,0.0,0.018850582,0.030399386,0.0,0.0,0.0,0.0,0.0,0.023706952,0.040092666,0.037975438,0.0,0.0,0.019688219,0.033358354,0.0,0.0,0.03555888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02931744,0.0,0.0,0.0,0.022370921,0.025993556,0.0,0.032029208,0.0,0.0,0.0,0.0,0.0,0.0,0.06385275,0.0,0.032449786,0.0,0.0,0.025600703,0.0,0.02788026,0.05255111,0.03263409,0.034627266,0.0
舒张压,0.0,0.03872768,0.0354425,0.034804724,0.0287407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018413438,0.0,0.0,0.0,0.024116348,0.0,0.0443519,0.051039223,0.0,0.0,0.0,0.018832894,0.016805748,0.0,0.032999024,0.0,0.0,0.0,0.02041059,0.0,0.059080645,0.0,0.03197506,0.019779284,0.0,0.0,0.021606749,0.0,0.0,0.0,0.0,0.052036017,0.03134308,0.02157549,0.0,0.01845119,0.036118653,0.037105974,0.0,0.0,0.0,0.044354502,0.0,0.0,0.0,0.0274866,0.0,0.0,0.022783792,0.041472442,0.0,0.0,0.033377655,0.0,0.0,0.015924728,0.0,0.0,0.0,0.016344195,0.0,0.0,0.045634564,0.0
总热卡(千卡),0.019238964,0.028480051,0.018212939,0.0,0.0378167,0.027848337,0.01382532,0.01566001,0.0,0.0,0.0,0.030761275,0.011770414,0.0,0.014355695,0.0,0.03782483,0.0,0.025536228,0.0,0.0,0.041240226,0.01600845,0.0,0.0,0.0,0.023095833,0.0,0.03906026,0.021865195,0.018054811,0.0,0.016886098,0.0,0.0,0.0348806,0.022353826,0.034103554,0.0,0.0,0.02011209,0.017108984,0.021954415,0.0,0.0,0.0,0.0,0.027335493,0.0,0.031481925,0.049724028,0.0,0.019283514,0.0,0.0,0.0,0.0,0.017216768,0.0,0.019895969,0.023110041,0.0,0.0,0.030859997,0.0,0.0,0.040087603,0.015845276,0.0,0.037546188,0.0,0.03355838,0.0,0.0,0.019206613,0.0,0.0
